,Unnamed: 0,id,x,y,Aperture Sum,Median Flux Background Subtracted,Aperture Area (pixels),Sum with bkg subtraction,EXP-TIME,OBS-TIME,JulianDate,mag,phase,residualFactor,correctedflux,Unnamed: 0.1,phaseII,year,colour,error
0,26,26,1147.5731666268075,898.3495866052983,3030.353000038496,0.1295247673988342,1385.4423602330987,1714.0387569060686,32.0,2022-03-20 21:31:35.700,2459659.396940972,-8.020855917259947,0.0,-0.057412384852304224,1615.6317041428122,,0.0,2022,black,0.026224035187474914
1,19,19,1153.331684432609,890.1403558143375,4158.434077456015,0.1795254945755005,1385.442360233099,2318.588163581214,32.0,2022-03-22 21:03:07.168,2459661.3771662964,-8.530447446761238,0.2307168335464267,0.11418001494097939,2583.3245947408946,,0.23069021660608247,2022,black,0.022547481050211118
2,19,19,1148.471690278897,885.396455343788,3600.468013483569,0.1285517811775207,1385.4423602330987,1548.7844387944588,32.0,2022-03-24 20:46:19.250,2459663.3655005787,-8.167513314440212,0.47875831458173934,0.1940275550772985,1849.2912967955135,,0.4787049717055485,2022,black,0.02758762726286613
3,26,26,1147.4297002244798,898.340168324914,3103.182067409338,0.1073671877384185,1385.442360233099,1744.257535216457,32.0,2022-03-20 21:33:54.703,2459659.398549803,-8.027992285385906,0.0034372390803736356,-0.06763426117451461,1626.285965524012,,0.0034372174554833036,2022,black,0.02599588062104031
4,19,19,1153.3716565473203,890.0557981797288,4146.336021387488,0.1682047247886657,1385.4423602330987,2351.8850775685205,32.0,2022-03-22 21:06:30.052,2459661.3795144907,-8.553018669733184,0.23573370981041464,0.12147958258985644,2637.5910950908565,,0.2357070613071226,2022,black,0.022387303634000457
5,19,19,1148.5338608156746,885.3003403604291,3617.521118354536,0.1007194519042968,1385.442360233099,1565.2992124699308,32.0,2022-03-24 20:49:09.048,2459663.367465833,-8.143826168181004,0.48295704660741734,0.15593416639009625,1809.3828403175035,,0.4829036773155142,2022,black,0.027441708988754934
6,24,24,1147.3463881544976,898.3398081893322,3187.2249896216667,0.1273785233497619,1385.442360233099,1781.5871581245271,32.0,2022-03-20 21:36:18.132,2459659.4002098613,-8.062914123582162,0.006983924602689762,-0.057332409901508445,1679.4444728996682,,0.006983880664342708,2022,black,0.02572209281708198
7,19,19,1153.449696970073,890.015209133346,4085.562265097768,0.1152381896972656,1385.442360233099,2263.854619427924,32.0,2022-03-22 21:09:22.687,2459661.381512581,-8.507843176275676,0.24000259460772444,0.11760603092240095,2530.0975758041845,,0.23997591924736383,2022,black,0.022818420070692114
8,19,19,1148.499585414606,885.4457645180564,3567.6060346068866,0.1117057800292968,1385.4423602330987,1532.8364974166095,32.0,2022-03-24 20:51:48.902,2459663.3693159954,-8.142128812144021,0.48690988577659233,0.1785708417167653,1806.556400974472,,0.4868564916159741,2022,black,0.027730769536784994
9,26,26,1147.552035309688,898.4595087234652,3210.409950065212,0.1096589565277099,1385.442360233099,1769.0505116924028,32.0,2022-03-20 21:38:38.890,2459659.401839005,-8.05943018196793,0.010464561221868719,-0.053693464910396546,1674.0640601181278,,0.010464495385602022,2022,black,0.02581307368234141
10,18,18,1153.2492048059464,889.9288150310567,4056.677642169168,0.1392466425895691,1385.442360233099,2242.4698030915715,32.0,2022-03-22 21:12:19.835,2459661.3835629052,-8.48559425551162,0.24438307677150561,0.10537871755117384,2478.7783950885946,,0.24435637385197762,2022,black,0.022926963313232632
11,18,18,1148.4489355829965,885.2997159394419,3580.798192719313,0.1184884309768676,1385.442360233099,1552.2962212715868,32.0,2022-03-24 20:54:32.358,2459663.3712078473,-8.171304447606925,0.49095179431268043,0.19549338876188682,1855.759869930241,,0.4908983747229829,2022,black,0.027556403646846243
12,23,23,1147.4788600015363,898.233110942579,3293.1667973338617,0.1071036458015441,1385.442360233099,1804.3566722645287,32.0,2022-03-20 21:41:04.846,2459659.4035283104,-8.072311935378933,0.014073732992030711,-0.06113665384684192,1694.0443429760526,,0.014073644449184144,2022,black,0.025559281601291207
13,19,19,1153.3611067567424,889.79499074079,4054.974463963219,0.1356681585311889,1385.442360233099,2262.438935404186,32.0,2022-03-22 21:15:15.183,2459661.385592396,-8.502457090764507,0.24871904812888257,0.11277143862525586,2517.5774289515084,,0.24869231793022095,2022,black,0.022825558080130245
14,19,19,1148.506737134006,885.3748767613239,3577.816324946501,0.1099488735198974,1385.4423602330987,1565.799394132966,32.0,2022-03-24 20:57:23.346,2459663.373186875,-8.174464303376233,0.4951799528164944,0.1886379737378387,1861.1686191221443,,0.4951265066259527,2022,black,0.027437325625210233
15,21,21,1147.740525145966,898.4130875407699,3314.0086485245884,0.1258984804153442,1385.442360233099,1800.1080286791175,32.0,2022-03-20 21:43:18.993,2459659.4050809373,-8.089061361196046,0.01739089337771175,-0.0442903403706989,1720.3806313848916,,0.01739078396543251,2022,black,0.025589426536009933
16,19,19,1153.3366996574175,890.1206122950215,3866.93534778003,0.1302796602249145,1385.442360233099,2266.2614206421704,32.0,2022-03-22 21:18:06.137,2459661.3875710303,-8.499679385689875,0.2529463659614546,0.10805609908439263,2511.1447892622173,,0.252919609167237,2022,black,0.02280630011187509
17,19,19,1148.4470582807844,885.3910227834069,3531.754943742701,0.0876457691192627,1385.442360233099,1527.141202325721,32.0,2022-03-24 21:00:14.797,2459663.3751712614,-8.136526655018818,0.49941955937237203,0.17687806229029218,1797.2589790367615,,0.4993660865089602,2022,black,0.02778243075165575
