,0,Aperture Area (pixels),Aperture Sum,EXP-TIME,Median Flux Background Subtracted,OBS-TIME,Sum with bkg subtraction,Unnamed: 0,Unnamed: 0.1,id,x,y,JulianDate,phase,mag,residualFactor,correctedflux,correctedmag
0,,1385.4423602330987,9955.873129177427,30.0,0.8978626728057861,2023-01-23 20:58:15.164,9158.973425568813,26.0,26.0,26.0,2355.8691904215284,1758.0898137411996,2459968.3737866203,0.2947870318029494,-9.904616997325927,-0.19079103570656628,7411.523399695621,-9.674768710259475
1,,1385.4423602330987,9656.68152683055,30.0,0.9120943546295166,2023-01-23 21:00:27.857,8874.284229453206,16.0,16.0,16.0,2356.452625320157,1758.5113940161575,2459968.3753224188,0.2997624057273768,-9.87033333594185,-0.17086513441037793,7357.978461791786,-9.666896280585192
2,,1385.442360233099,9139.084132629176,30.0,0.931527614593506,2023-01-23 21:02:41.380,8385.85341958306,14.0,14.0,14.0,2356.4763658373777,1758.3306941720734,2459968.3768678242,0.3047689026854261,-9.808868167222716,-0.13530017923849424,7251.245948845732,-9.651031589605982
3,,1385.4423602330987,7938.19288037274,30.0,0.8948557376861572,2023-01-23 21:07:04.819,7242.318015894178,11.0,11.0,11.0,2356.2738847034407,1758.4804837004092,2459968.379916887,0.3146466484576467,-9.64969397778203,0.0007622495005438647,7247.838469184573,-9.650521264402466
4,,1385.4423602330987,7432.580612694851,30.0,0.5632614195346832,2023-01-23 21:09:19.879,6990.093923064608,45.0,45.0,45.0,2356.3290085738813,1758.3055381108031,2459968.381480081,0.31971077379083035,-9.611207528060428,0.05549460831797833,7378.006447430959,-9.669847576021507
5,,1385.442360233099,7271.082548278401,30.0,0.5991387218236923,2023-01-23 21:11:31.217,6837.835745063796,49.0,49.0,49.0,2356.176212510533,1758.3802009731098,2459968.383000197,0.32463534254215304,-9.587296660473903,0.06512924032729368,7283.178792622614,-9.655802428632864
6,,1385.4423602330987,7078.557694892134,30.0,0.6797154247760773,2023-01-23 21:13:42.847,6639.767191048785,32.0,32.0,32.0,2356.3220366405826,1758.6873355622563,2459968.384523692,0.3295708588895687,-9.555382130116056,0.08202774773292397,7184.41233920148,-9.64097812523277
7,,1385.4423602330987,6914.857062272422,30.0,0.6808125376701355,2023-01-23 21:15:53.688,6474.762680470602,21.0,21.0,21.0,2356.7081155408464,1758.7985897853753,2459968.3860380556,0.3344767924397701,-9.52805963711454,0.11193378516448238,7199.507375337407,-9.643256952365675
8,,1385.4423602330987,6725.978420750167,30.0,0.6067184954881668,2023-01-23 21:18:07.131,6285.41600295613,35.0,35.0,35.0,2355.834499430808,1758.713816087401,2459968.387582535,0.33948028887850995,-9.495835067349844,0.12158476170071998,7049.626809865443,-9.620415317760067
9,,1385.442360233099,6506.289232222441,30.0,0.5797272175550461,2023-01-23 21:20:20.651,6084.432853170962,25.0,25.0,25.0,2355.712145382968,1758.072491511297,2459968.389127905,0.34448667118624887,-9.460550256654534,0.1631428872574594,7077.064796161414,-9.624632929837832
10,,1385.4423602330987,6380.161145251035,30.0,0.701533168554306,2023-01-23 21:22:32.829,5964.128450248812,21.0,21.0,21.0,2356.5157517782486,1758.88380495248,2459968.390657743,0.34944273558470257,-9.438867470853099,0.17080492421833504,6982.830958221977,-9.61007882169999
11,,1385.4423602330987,6274.923648446145,30.0,0.6650683283805847,2023-01-23 21:24:44.423,5856.068699094661,26.0,26.0,26.0,2356.030480247903,1758.687496254723,2459968.392180822,0.3543769032824135,-9.419015407259854,0.20097447317661124,7032.989020781253,-9.617849848589024
12,,1385.4423602330987,6009.501500891405,30.0,0.4771174490451813,2023-01-23 21:31:18.925,5603.310134348015,42.0,42.0,42.0,2355.880972564541,1758.480348650162,2459968.396746817,0.3691689053122415,-9.371111651612654,0.21428063511631895,6803.990988689814,-9.581909324386572
13,,1385.4423602330987,5917.041739463065,30.0,0.5389088094234467,2023-01-23 21:33:32.332,5514.211742963029,29.0,29.0,29.0,2356.58677330548,1758.651274669098,2459968.3982908796,0.37417105159271996,-9.353708596950147,0.2356364355575866,6813.5609429846245,-9.583435361903218
14,,1385.4423602330987,5832.350767921683,30.0,0.5265770256519318,2023-01-23 21:35:43.919,5423.989313099965,23.0,23.0,23.0,2355.700495417412,1758.2344587962898,2459968.3998138774,0.3791049568015622,-9.3357970629208,0.2611099828234976,6840.2470694783315,-9.587679471761259
15,,1385.442360233099,5841.265784613112,30.0,0.4912775158882141,2023-01-23 21:37:55.518,5435.410142180059,26.0,26.0,26.0,2358.1071073683534,1759.998120650755,2459968.401337014,0.384039311560306,-9.338080801030527,0.2548571214432885,6820.663124879724,-9.584566500232082
16,,1385.4423602330987,5789.355463452313,30.0,0.5126590132713318,2023-01-23 21:40:06.267,5379.138545579272,31.0,31.0,31.0,2356.718881351469,1758.3417632198518,2459968.4028503126,0.38894179504129633,-9.32678182538471,0.23996274096987574,6669.931375033185,-9.560303414027606
17,,1385.442360233099,5801.609122751986,30.0,0.5005131363868713,2023-01-23 21:42:18.214,5382.476791212181,35.0,35.0,35.0,2356.234229875128,1758.4609024989625,2459968.404377477,0.39388919730708283,-9.327455414645588,0.2584193266357128,6773.412819229585,-9.577018863403131
18,,1385.4423602330987,5784.7779766462445,30.0,0.5177908837795258,2023-01-23 21:44:29.192,5368.809775686617,33.0,33.0,33.0,2356.6564055469707,1758.5362991502852,2459968.405893426,0.39880026749290454,-9.324695041462778,0.24190102958720489,6667.530388083061,-9.559912509291253
19,,1385.442360233099,5858.214681575459,30.0,0.5589730143547058,2023-01-23 21:48:52.827,5426.350020376775,31.0,31.0,31.0,2355.492054719821,1758.6114180367883,2459968.4089447567,0.40868536144489215,-9.336269509969862,0.21095120484484656,6571.045095085114,-9.544086119079402
20,,1385.442360233099,6177.442855034482,30.0,0.5698794424533844,2023-01-23 21:53:16.830,5735.328059028861,30.0,30.0,30.0,2356.9590623704007,1759.041535573393,2459968.4120003474,0.41858425567372404,-9.396395661151697,0.13747479330754184,6523.7910984947985,-9.53625011458724
21,,1385.4423602330987,6556.994112393,30.0,0.582521453499794,2023-01-23 22:02:03.585,6096.873731668903,34.0,34.0,34.0,2356.106243272739,1758.2886587234768,2459968.4180970485,0.4383351340517257,-9.462768001821125,0.03943946597925317,6337.331175788861,-9.504766007618805
22,,1385.442360233099,6669.358621058682,30.0,0.6120021343231201,2023-01-23 22:04:17.400,6208.237199479455,30.0,30.0,30.0,2355.9284002506333,1758.311166874013,2459968.4196458333,0.443352578605868,-9.48242075437898,0.03299640979336832,6413.086738207912,-9.517667784679391
23,,1385.442360233099,6514.34059344957,30.0,0.6379567980766296,2023-01-23 22:41:00.320,6050.15723255484,36.0,36.0,36.0,2355.749046307162,1758.233178340141,2459968.445142593,0.5259519029933429,-9.454416653302093,-0.04078350463714951,5803.4106170054565,-9.409208249774553
