,file,time
46,Reduced_star_Light_Blue_30_secs_047.fits,2023-01-23 22:54:48
47,Reduced_star_Light_Blue_30_secs_048.fits,2023-01-23 22:57:03
48,Reduced_star_Light_Blue_30_secs_049.fits,2023-01-23 22:59:19
49,Reduced_star_Light_Blue_30_secs_050.fits,2023-01-23 23:01:31
50,Reduced_star_Light_Blue_30_secs_051.fits,2023-01-23 23:05:51
51,Reduced_star_Light_Blue_30_secs_052.fits,2023-01-23 23:08:09
52,Reduced_star_Light_Blue_30_secs_053.fits,2023-01-23 23:10:20
53,Reduced_star_Light_Blue_30_secs_054.fits,2023-01-23 23:12:32
54,Reduced_star_Light_Blue_30_secs_055.fits,2023-01-23 23:14:43
55,Reduced_star_Light_Blue_30_secs_056.fits,2023-01-23 23:16:54
56,Reduced_star_Light_Blue_30_secs_057.fits,2023-01-23 23:19:07
57,Reduced_star_Light_Blue_30_secs_058.fits,2023-01-23 23:21:20
58,Reduced_star_Light_Blue_30_secs_059.fits,2023-01-23 23:23:32
59,Reduced_star_Light_Blue_30_secs_060.fits,2023-01-23 23:25:42
60,Reduced_star_Light_Blue_30_secs_061.fits,2023-01-23 23:27:55
61,Reduced_star_Light_Blue_30_secs_062.fits,2023-01-23 23:30:09
62,Reduced_star_Light_Blue_30_secs_063.fits,2023-01-23 23:32:21
63,Reduced_star_Light_Blue_30_secs_064.fits,2023-01-23 23:34:33
64,Reduced_star_Light_Blue_30_secs_065.fits,2023-01-23 23:36:44
65,Reduced_star_Light_Blue_30_secs_066.fits,2023-01-23 23:38:58
66,Reduced_star_Light_Blue_30_secs_067.fits,2023-01-23 23:41:09
67,Reduced_star_Light_Blue_30_secs_068.fits,2023-01-23 23:43:21
68,Reduced_star_Light_Blue_30_secs_069.fits,2023-01-23 23:45:33
69,Reduced_star_Light_Blue_30_secs_070.fits,2023-01-23 23:47:44
70,Reduced_star_Light_Blue_30_secs_071.fits,2023-01-23 23:49:56
71,Reduced_star_Light_Blue_30_secs_072.fits,2023-01-23 23:52:09
72,Reduced_star_Light_Blue_30_secs_073.fits,2023-01-23 23:54:22
73,Reduced_star_Light_Blue_30_secs_074.fits,2023-01-23 23:56:34
74,Reduced_star_Light_Blue_30_secs_075.fits,2023-01-23 23:58:46
75,Reduced_star_Light_Blue_30_secs_076.fits,2023-01-24 00:00:58
76,Reduced_star_Light_Blue_30_secs_077.fits,2023-01-24 00:03:10
