,Unnamed: 0,id,x,y,Aperture Sum,Median Flux Background Subtracted,Aperture Area (pixels),Sum with bkg subtraction,EXP-TIME,OBS-TIME,JulianDate,mag,phase,residualFactor,correctedflux,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0.1.1,phaseII,year,colour,error,CalibratedMag
0,23,23,1147.7070619524973,899.7823316355015,3848.102127705629,0.1538466215133667,1385.442360233099,2458.4178596875645,32.0,2022-03-20 21:32:52.956,2459659.3978351387,-8.389634584565309,0.0,-0.07700758613932535,2269.1010345912186,,,,0.0,2022,black,0.021896867311697165,11.223217925613929
1,18,18,1153.0094194543276,891.6509314808947,5505.553481235716,0.2070467472076416,1385.442360233099,3767.875875130948,32.0,2022-03-22 21:04:52.944,2459661.3783905557,-9.076069063778544,0.23142207115985514,0.13326385695360982,4269.997546773356,,,,0.23139544978261117,2022,black,0.017687300082494608,10.536783446400694
2,18,18,1150.6059253514256,885.8663807143573,3847.462567952232,0.1391540765762329,1385.4423602330987,2002.677946380272,32.0,2022-03-24 20:47:52.004,2459663.3665741202,-8.52286236791225,0.47914154625766336,0.28095487779551653,2565.3400840693175,,,,0.4790882009704269,2022,black,0.02426075321599792,11.089990142266988
3,22,22,1147.9618474204417,899.7771645815034,3887.543231450151,0.134110689163208,1385.4423602330987,2432.8144505572827,32.0,2022-03-20 21:35:15.007,2459659.3994792476,-8.432887957257257,0.0035126099829745003,-0.02938679364871334,2361.321834313148,,,,0.0035125878838990843,2022,black,0.022011789168400735,11.17996455292198
4,18,18,1152.9462362808497,891.7908632017214,5416.897593661353,0.1830848455429077,1385.4423602330987,3705.429012175181,32.0,2022-03-22 21:08:02.653,2459661.3805862614,-9.03954034948894,0.23611315796830734,0.11423717045393211,4128.726737843982,,,,0.236086507077772,2022,black,0.01783571766868694,10.573312160690298
5,18,18,1150.4755487238322,885.7338258210997,3809.901709239425,0.0810801982879638,1385.4423602330987,1973.4078340036083,32.0,2022-03-24 20:50:33.908,2459663.3684480092,-8.51071474852016,0.48314507740535184,0.2854910328045286,2536.798074677846,,,,0.4830917069304803,2022,black,0.024440011946928582,11.102137761659078
6,23,23,1147.8161485003914,899.7966530526395,4003.025818392396,0.1078459024429321,1385.442360233099,2480.4787027415086,32.0,2022-03-20 21:37:38.055,2459659.4011348956,-8.412969326251954,0.007049873023228656,-0.0653430752737001,2318.3965961534605,,,,0.007049828669976696,2022,black,0.021799276830289024,11.199883183927284
7,19,19,1152.9260330043812,891.7575399598717,5416.183907790827,0.1626660227775573,1385.4423602330987,3710.292450702592,32.0,2022-03-22 21:10:55.851,2459661.382590868,-9.097426667744854,0.240395965077302,0.1737146473990844,4354.824595523878,,,,0.2403692872421086,2022,black,0.01782402433698183,10.515425842434384
8,18,18,1150.5884423928965,885.8366313323587,3800.377808854081,0.1135762333869934,1385.4423602330987,1984.294605234424,32.0,2022-03-24 20:53:14.782,2459663.370309977,-8.507327398749311,0.48712313870156976,0.2744558873045193,2528.8959417876085,,,,0.48706974319930296,2022,black,0.02437287504777232,11.105525111429927
9,21,21,1147.6915383203318,899.6797117549447,4070.7030369679874,0.1374062299728393,1385.442360233099,2508.784992123388,32.0,2022-03-20 21:39:57.753,2459659.402751771,-8.434237729446977,0.010504298607416095,-0.057607874023202006,2364.2592223458437,,,,0.01050423252114741,2022,black,0.021675948790763632,11.17861478073226
10,19,19,1153.0576234256732,891.7849158078227,5355.552103718824,0.1544792652130127,1385.442360233099,3653.7348368732855,32.0,2022-03-22 21:13:52.487,2459661.3846352664,-9.053749060350697,0.2447637864337011,0.1448869315929808,4183.113266242236,,,,0.24473708111899395,2022,black,0.017961447152327604,10.559103449828541
11,18,18,1150.5353095867636,885.7513945167314,3823.408091899103,0.11277437210083,1385.4423602330987,2013.6028589507628,32.0,2022-03-24 20:56:06.568,2459663.3722982407,-8.51585465291388,0.49137102959998025,0.2658086000790017,2548.8358160035405,,,,0.491317607372725,2022,black,0.024194849681097724,11.096997857265357
12,21,21,1147.7678516110186,899.8150340229498,4168.548832025531,0.1609264016151428,1385.4423602330987,2539.0899171900337,32.0,2022-03-20 21:42:18.961,2459659.4043861227,-8.411995929061046,0.013996062928196058,-0.08773651720132086,2316.31901099479,,,,0.013995974873999414,2022,black,0.02154620548564305,11.200856581118192
13,18,18,1152.9542498755766,891.6470264243851,5206.074414442195,0.1927257180213928,1385.442360233099,3626.483928401965,32.0,2022-03-22 21:16:47.657,2459661.386662697,-9.006386558108915,0.2490953564542986,0.10425370763574089,4004.558323619296,,,,0.24906862388814766,2022,black,0.018028805741026332,10.606465952070323
14,18,18,1150.465316688063,885.8364957832,3749.211711330266,0.0917530059814453,1385.442360233099,1942.1446262236543,32.0,2022-03-24 20:58:56.351,2459663.374263322,-8.479478792125883,0.49556939153133683,0.26914121914295763,2464.855798677432,,,,0.49551594289069634,2022,black,0.024635935255740874,11.133373718053354
15,20,20,1147.8237031076396,899.8762977598899,4253.071641993826,0.1343503594398498,1385.4423602330987,2563.8434305896185,32.0,2022-03-20 21:44:34.776,2459659.4059580555,-8.442431817613436,0.017354469928153014,-0.07085985047906875,2382.1698684462954,,,,0.01735436074502662,2022,black,0.021441940562259065,11.170420692565802
16,21,21,1153.0634778556455,891.7319185231477,5155.294252928919,0.1450351476669311,1385.4423602330987,3650.616694068639,32.0,2022-03-22 21:19:36.238,2459661.3886138657,-9.033115393303769,0.25326399443923187,0.12429407473987485,4104.366718287842,,,,0.25323723564670075,2022,black,0.01796911632272529,10.579737116875469
