,0,Aperture Area (pixels),Aperture Sum,EXP-TIME,Median Flux Background Subtracted,OBS-TIME,Sum with bkg subtraction,Unnamed: 0,Unnamed: 0.1,id,x,y,JulianDate,phase,mag,residualFactor,correctedflux,correctedmag
0,,1385.4423602330987,7792.941264180434,30.0,0.7522088587284088,2023-01-23 20:55:21.596,7282.113226964028,48.0,48.0,48.0,2355.3641415314946,1757.8477908286104,2459968.3717777315,0.2972724136905,-9.655643568348488,-0.18051661607222358,5967.570789377702,-9.439493948649753
1,,1385.4423602330987,7827.95436678732,30.0,0.7958438098430634,2023-01-23 20:57:36.199,7309.090421410765,48.0,48.0,48.0,2355.5259884649595,1758.005676655815,2459968.3733356367,0.30231940483649544,-9.65965833653263,-0.19485521205513592,5884.876057416608,-9.424343301276215
2,,1385.4423602330987,7601.555847481447,30.0,0.8034392148256302,2023-01-23 20:59:49.989,7095.034852078301,49.0,49.0,49.0,2355.8133462795568,1757.9933675981326,2459968.374884132,0.30733591106836006,-9.62738633282697,-0.1505922422416989,6026.57764492083,-9.450176890687537
3,,1385.442360233099,7244.04715970461,30.0,0.7020331025123596,2023-01-23 21:02:03.029,6751.777840652028,47.0,47.0,47.0,2355.449369360261,1758.0159175368135,2459968.3764239466,0.31232429629446884,-9.57354535975259,-0.11587873499776612,5969.390365491322,-9.43982495076219
4,,1385.4423602330987,6807.340145651247,30.0,1.0234625041484833,2023-01-23 21:04:14.779,6315.634550775081,18.0,18.0,18.0,2356.432521199796,1758.2162667955686,2459968.377948831,0.3172643126665704,-9.501042479886873,-0.04957213108904527,6002.555086913556,-9.445840385934618
5,,1385.4423602330987,6279.170643997984,30.0,0.6163415014743805,2023-01-23 21:06:25.619,5822.498279122868,36.0,36.0,36.0,2356.334109667851,1758.528912437306,2459968.3794631828,0.3221702085028539,-9.412773422120464,0.00844525432397489,5871.670757890966,-9.421904238506423
6,,1385.4423602330987,5815.40330713414,30.0,0.6029974669218063,2023-01-23 21:08:40.456,5492.611263928124,65.0,65.0,65.0,2356.196189855604,1757.450739546848,2459968.3810237963,0.3272259734147136,-9.34944715798255,0.06150653051310084,5830.44272622952,-9.41425383383505
7,,1385.442360233099,5662.740897159246,30.0,0.4987339228391647,2023-01-23 21:10:52.988,5346.599998220565,55.0,55.0,55.0,2357.1270171158467,1758.8533993310948,2459968.3825577316,0.33219531160371746,-9.32019423476754,0.0986661088239456,5874.128215483102,-9.422358554253597
8,,1385.442360233099,5495.231956371228,30.0,0.5698872953653336,2023-01-23 21:13:05.111,5180.499521440887,59.0,59.0,59.0,2356.051063658708,1758.7200755009774,2459968.384086933,0.33714931380513946,-9.285929094800348,0.11263858845969131,5764.023675052094,-9.401814389898323
9,,1385.442360233099,5419.163501125195,30.0,0.6492563486099243,2023-01-23 21:15:15.933,5102.4631514629855,33.0,33.0,33.0,2356.1565848948594,1758.738590926213,2459968.3856010763,0.3420545338080138,-9.269449692620649,0.15181886510317888,5877.113316348886,-9.42291016101715
10,,1385.4423602330987,5205.203005063279,30.0,0.589618444442749,2023-01-23 21:17:29.534,4896.9225962694045,49.0,49.0,49.0,2356.4212078422847,1758.6795671808725,2459968.387147384,0.34706395434898013,-9.224808098375771,0.1645734022687153,5702.825808584011,-9.390225265923087
11,,1385.442360233099,5116.519035945471,30.0,0.4967582747340202,2023-01-23 21:19:41.210,4810.756981195471,57.0,57.0,57.0,2355.8307286240083,1758.776229634571,2459968.388671412,0.3520011964852797,-9.205533546906421,0.18845510178260585,5717.368677738045,-9.392990495204529
12,,1385.442360233099,4973.597559848633,30.0,0.5399318858981133,2023-01-23 21:21:54.894,4677.72245834432,44.0,44.0,44.0,2357.1996508263705,1758.7709005816066,2459968.3902186807,0.35701372917875257,-9.175086125990813,0.22332025031097827,5722.3526086270585,-9.393936538279377
13,,1385.442360233099,4911.183444986888,30.0,0.5027198046445847,2023-01-23 21:24:06.702,4610.963821216585,58.0,58.0,58.0,2355.447371577749,1758.268815307718,2459968.391744236,0.36195591938108285,-9.159479286622235,0.23054732733014996,5674.009206614083,-9.384725090360215
14,,1385.4423602330987,4862.156937771786,30.0,0.4633315727114677,2023-01-23 21:26:17.949,4567.294995561465,73.0,73.0,73.0,2355.503857756867,1757.9588490113658,2459968.3932632986,0.36687707577711237,-9.149147657552128,0.2526950926217092,5721.428027495538,-9.393761097794657
15,,1385.4423602330987,4802.465489472714,30.0,0.4974746704101562,2023-01-23 21:28:29.239,4514.929989986939,54.0,54.0,54.0,2355.893136217758,1758.5162831416535,2459968.394782859,0.371799844820272,-9.136627550965958,0.2682084944390474,5725.87256509904,-9.394604195360406
16,,1385.442360233099,4643.056930518209,30.0,0.4921050369739532,2023-01-23 21:30:40.884,4356.957104755288,46.0,46.0,46.0,2355.86764581558,1757.925215204954,2459968.396306528,0.376735923859343,-9.09795821056937,0.2805038731583169,5579.100447823793,-9.366410451627232
17,,1385.442360233099,4633.727408724746,30.0,0.4172229468822479,2023-01-23 21:32:53.877,4351.082514785284,61.0,61.0,61.0,2356.080572996392,1758.2235851552068,2459968.3978457986,0.38172254709120673,-9.096493298542137,0.30820352353273756,5692.101477023793,-9.38818158487225
18,,1385.4423602330987,4510.175527430831,30.0,0.4243866726756096,2023-01-23 21:37:17.896,4225.080964364176,44.0,44.0,44.0,2356.5967381787927,1759.1763588531578,2459968.400901574,0.39162204021705516,-9.06458758915492,0.3023279269889206,5502.440933680747,-9.351388473218304
19,,1385.442360233099,4547.490894394741,30.0,0.3942469358444214,2023-01-23 21:39:28.829,4257.712967602069,70.0,70.0,70.0,2355.870206526736,1758.5173745446457,2459968.4024170022,0.3965314223279109,-9.07294095065366,0.3144097123121918,5596.379276853723,-9.369767849370303
20,,1385.442360233099,4517.1158808400605,30.0,0.483900636434555,2023-01-23 21:41:40.631,4222.829358028667,45.0,45.0,45.0,2356.448840065265,1758.3508892055168,2459968.4039424886,0.4014733892638471,-9.064008830507653,0.2803428471995383,5406.669363496222,-9.332324529450602
21,,1385.4423602330987,4568.722025034522,30.0,0.5076944530010223,2023-01-23 21:43:51.260,4277.778581062341,50.0,50.0,50.0,2356.7115930974783,1758.3562531346483,2459968.405454398,0.40637137272015156,-9.078045754053342,0.27460487479318807,5452.477432707948,-9.341484691875955
22,,1385.4423602330987,4662.718481319862,30.0,0.4722425639629364,2023-01-23 21:48:15.299,4356.942728811455,44.0,44.0,44.0,2356.18041768518,1758.7856470273337,2459968.408510405,0.4162716155986882,-9.097954628136018,0.2537203242632308,5462.387650761823,-9.343456293982369
23,,1385.4423602330987,4795.385571658976,30.0,0.4526250511407852,2023-01-23 21:50:26.589,4479.000487209469,65.0,65.0,65.0,2355.451619850321,1758.277016131226,2459968.4100299655,0.42119438464184783,-9.127952774214181,0.20725119896277158,5407.278708338469,-9.33244688767772
24,,1385.442360233099,5443.5423086382725,30.0,0.6128540933132172,2023-01-23 21:57:01.617,5111.1375770252,52.0,52.0,52.0,2355.968642973148,1758.117667464661,2459968.4146020487,0.4360061095421898,-9.271293927656503,0.06242921116263438,5430.221864102581,-9.337043935107967
25,,1385.442360233099,5517.772157910418,30.0,0.4683379381895065,2023-01-23 22:03:39.201,5183.358635059607,67.0,67.0,67.0,2355.558321214818,1757.8879712700566,2459968.4192037154,0.45091367305074315,-9.286528146466482,0.0517516621600946,5451.606059995821,-9.341311164058776
26,,1385.4423602330987,5660.498451155054,30.0,0.623181127011776,2023-01-23 22:23:52.596,5325.17017197249,72.0,72.0,72.0,2354.6202760819347,1757.5353716354798,2459968.433247639,0.4964103798908289,-9.315833726787623,-0.035586879268962326,5135.663983975825,-9.276491502469469
27,,1385.442360233099,5833.788298701313,30.0,0.9297112673521042,2023-01-23 22:28:18.398,5483.547723092626,45.0,45.0,45.0,2354.873377713477,1757.8501825363155,2459968.436324051,0.5063767277246909,-9.347654068673862,-0.08029483940426621,5043.247139301275,-9.256775627122467
28,,1385.442360233099,5687.794062889618,30.0,0.51882703602314,2023-01-23 22:35:57.003,5345.496783317174,57.0,57.0,57.0,2355.7743622456487,1758.2396583031068,2459968.4416319793,0.5235722965770965,-9.319970181358565,-0.05100659155943204,5072.841212208257,-9.263128171099531
29,,1385.442360233099,5757.560747378685,30.0,0.5674978494644165,2023-01-23 22:38:08.916,5407.473954139811,58.0,58.0,58.0,2356.200180597012,1758.7402958442588,2459968.44315875,0.5285184241124574,-9.332486090689011,-0.054772219386113104,5111.294604398973,-9.271327283770162
30,,1385.442360233099,5558.508729187309,30.0,0.4923713803291321,2023-01-23 22:42:33.559,5218.312894265911,78.0,78.0,78.0,2355.553439765646,1757.985331109854,2459968.446221748,0.5384413149529816,-9.293825290484211,-0.062018962592751095,4894.678542079163,-9.22431043698454
31,,1385.4423602330987,5613.696343783854,30.0,0.5663826391100883,2023-01-23 22:44:46.334,5269.122129288572,63.0,63.0,63.0,2355.002590704197,1757.642635893978,2459968.4477584953,0.5434197633159976,-9.304345662242092,-0.05891318297360504,4958.701373175523,-9.238419886634638
32,,1385.442360233099,5619.178075714742,30.0,0.5802693068981171,2023-01-23 22:46:58.155,5273.855707616179,63.0,63.0,63.0,2355.880138761937,1758.4638141309629,2459968.4492842015,0.5483624422907041,-9.30532060837082,-0.07764153118236503,4864.385475242003,-9.217569957570205
33,,1385.4423602330987,5492.036905263304,30.0,0.5653203576803207,2023-01-23 22:49:10.470,5148.367372486207,48.0,48.0,48.0,2357.237708601915,1759.3905958100186,2459968.450815625,0.5533236433247781,-9.279173823315427,-0.0361102403549486,4962.458589230156,-9.239242239204316
34,,1385.442360233099,5447.314795122508,30.0,0.6085514053702354,2023-01-23 22:53:32.973,5103.390929964567,54.0,54.0,54.0,2357.009116470671,1758.6725765254023,2459968.453853854,0.563166292524985,-9.269647093583647,-0.042433758718776284,4886.834870594858,-9.222569160440756
35,,1385.442360233099,5603.732667525051,30.0,0.7189357578754425,2023-01-23 22:58:03.480,5244.514847373295,34.0,34.0,34.0,2356.921440916764,1759.1307907234475,2459968.456984722,0.5733090555069668,-9.299263298123801,-0.08059338434662819,4821.841646567341,-9.208032359176975
36,,1385.4423602330987,5561.854222521153,30.0,0.6155018359422684,2023-01-23 23:00:16.134,5207.320003509464,60.0,60.0,60.0,2356.0351105504496,1758.3748424487997,2459968.4585200693,0.5782829676399357,-9.291535667584684,-0.07082495792201736,4838.511783374427,-9.211779507594747
37,,1385.442360233099,5478.73771581674,30.0,0.5529416501522064,2023-01-23 23:04:37.830,5117.761132388155,63.0,63.0,63.0,2355.78176666901,1758.2981990184176,2459968.4615489584,0.5880953597180758,-9.272700029148208,-0.07357543566543817,4741.21962744105,-9.18972518400319
38,,1385.4423602330987,5399.402063875149,30.0,0.6250026971101761,2023-01-23 23:06:50.310,5040.017826797221,51.0,51.0,51.0,2356.854731249718,1759.1659383628555,2459968.4630822917,0.593062747343245,-9.256080181424315,-0.045189768808371084,4812.260586414185,-9.205872841441725
39,,1385.442360233099,5473.524573471652,30.0,0.6347434520721436,2023-01-23 23:09:04.594,5110.585050683882,40.0,40.0,40.0,2356.2382680341607,1758.7291540467393,2459968.4646365047,0.5980977771430338,-9.27117655060074,-0.07631139971826988,4720.58915208693,-9.184990510109092
40,,1385.442360233099,5651.121111043654,30.0,0.7091012299060822,2023-01-23 23:11:16.461,5281.820089128632,46.0,46.0,46.0,2356.1598202310124,1758.608755231632,2459968.466162743,0.6030421803980676,-9.306959010148972,-0.09522966102191717,4778.83415246216,-9.198304896912816
41,,1385.442360233099,6246.048747156784,30.0,0.6055847406387329,2023-01-23 23:20:05.247,5863.234571741958,78.0,78.0,78.0,2355.965220621266,1757.6921903805478,2459968.472282951,0.6228692122276843,-9.420343173623039,-0.22060418834295967,4569.780467978442,-9.14973834271531
42,,1385.4423602330987,6181.10328919064,30.0,0.6258185058832169,2023-01-23 23:22:15.877,5791.548763760061,67.0,67.0,67.0,2355.898178524286,1758.090614250648,2459968.473794873,0.6277672349064635,-9.40698679343409,-0.2034318513766985,4613.363276409922,-9.16004413550634
43,,1385.442360233099,6295.287415074713,30.0,0.7108388096094131,2023-01-23 23:24:27.484,5904.838437374767,55.0,55.0,55.0,2356.0512683700945,1758.2520356646971,2459968.4753181017,0.6327018883594372,-9.42802004838928,-0.20562135129034256,4690.677578730612,-9.178088955107993
44,,1385.442360233099,6250.904809535612,30.0,0.679362028837204,2023-01-23 23:26:39.114,5862.10263890475,63.0,63.0,63.0,2355.9703837785287,1758.393458982109,2459968.4768415974,0.6376374062154095,-9.42013354545722,-0.21622372637250564,4594.5769619426665,-9.15561382654598
45,,1385.4423602330987,5984.095468585299,30.0,0.7193810492753983,2023-01-23 23:28:52.634,5595.722439331978,59.0,59.0,59.0,2355.3928807942816,1757.69016426634,2459968.4783869674,0.6426437885231484,-9.369640410878965,-0.18395181921814324,4566.379116777074,-9.148929913247594
46,,1385.442360233099,5567.988823292339,30.0,0.6295152902603149,2023-01-23 23:31:05.472,5186.560650452323,46.0,46.0,46.0,2355.575231779841,1757.4754348729257,2459968.4799244446,0.6476246007945394,-9.287198652003667,-0.11695075979038311,4579.98844168302,-9.152160954988046
47,,1385.4423602330987,5520.753740032102,30.0,0.6492836773395538,2023-01-23 23:33:17.633,5144.972140360604,31.0,31.0,31.0,2355.4537779313355,1758.534449804213,2459968.4814540856,0.652580027073502,-9.27845756858169,-0.11862152546532105,4534.667696594451,-9.141363667948356
