,Unnamed: 0,id,x,y,Aperture Sum,Median Flux Background Subtracted,Aperture Area (pixels),Sum with bkg subtraction,EXP-TIME,OBS-TIME,JulianDate,mag,phase,residualFactor,correctedflux,Unnamed: 0.1,phaseII,year,colour,error,CalibratedMag
0,24,24,1147.6499657052118,899.252945473586,3776.690400295993,0.1477152109146118,1385.442360233099,2218.637043279154,32.0,2022-03-20 21:32:15.324,2459659.3973995834,-8.301235422728622,0.0,-0.05722532214847145,2091.6748237469724,,0.0,2022,black,0.02304977592897232,11.020463500073715
1,18,18,1152.9062199603209,890.2907676601328,5441.514587814117,0.1885733604431152,1385.4423602330987,3188.942310210421,32.0,2022-03-22 21:03:47.323,2459661.3776310533,-8.893405618950878,0.2307299639358522,0.13165900838035363,3608.7952925548793,,0.2307033469129003,2022,black,0.019225892359564345,10.42829330385146
2,18,18,1149.810898310238,885.8397229420336,4382.243048655493,0.1329655051231384,1385.442360233099,1900.1440707031104,32.0,2022-03-24 20:47:13.063,2459663.366123414,-8.469397631034369,0.479109176932738,0.28520534068318987,2442.075307735134,,0.47905583184914846,2022,black,0.024906721947136654,10.852301291767969
3,25,25,1147.74949694498,899.3495809425435,3845.3428632905143,0.1211459636688232,1385.442360233099,2226.6433054305426,32.0,2022-03-20 21:34:34.888,2459659.3990149074,-8.289177196402788,0.003451111648198798,-0.07099034561168222,2068.57312762409,,0.003451089936031221,2022,black,0.023008298981284134,11.03252172639955
4,19,19,1152.9588259073794,890.3504802440808,5434.101966970232,0.1695937514305114,1385.442360233099,3214.933474491147,32.0,2022-03-22 21:07:16.419,2459661.380051146,-8.871474886345439,0.23590044924116338,0.10006402893947491,3536.632670721116,,0.23587379968885447,2022,black,0.01914801868064625,10.450224036456898
5,18,18,1149.8103187818826,885.8862214526602,4354.699521053393,0.1153939962387085,1385.4423602330987,1887.727245058304,32.0,2022-03-24 20:49:52.449,2459663.3679681597,-8.395063919004102,0.4830504436901979,0.2080539332464912,2280.4763232892474,,0.4829970738107008,2022,black,0.02498850164667889,10.926635003798236
6,24,24,1147.6294214560282,899.4409751797153,3933.1273489863374,0.141386866569519,1385.442360233099,2267.1844597959853,32.0,2022-03-20 21:36:59.713,2459659.4006911227,-8.351769157847611,0.0070323164250924945,-0.03345782974238196,2191.329388145557,,0.00703227218229532,2022,black,0.022801657073030716,10.969929764954726
7,17,17,1152.9253110273064,890.6778647152762,5324.693501732465,0.1708292961120605,1385.4423602330987,3098.6539576423406,32.0,2022-03-22 21:10:09.866,2459661.3820586344,-8.834994937347394,0.24018941364521496,0.10363355374508118,3419.778479099077,,0.24016273710951008,2022,black,0.019503982485727347,10.486703985454943
8,18,18,1149.6874676491914,885.8566297382753,4346.597974453451,0.1047514081001281,1385.442360233099,1897.9353176727743,32.0,2022-03-24 20:52:33.494,2459663.3698321064,-8.416253424853013,0.4870327332145621,0.22523660291642816,2325.419821180502,,0.486979338281067,2022,black,0.024921210533987305,10.905445497949325
9,20,20,1147.591391820031,899.3001619594125,3996.062633429556,0.1332689523696899,1385.4423602330987,2277.8435653799625,32.0,2022-03-20 21:39:18.364,2459659.4022958796,-8.32252739982177,0.010460851324750242,-0.06354467175591205,2133.0987437065764,,0.010460785511823825,2022,black,0.0227482446543652,10.999171522980568
10,16,16,1152.708783658329,889.6693150519699,5308.477254644831,0.172329843044281,1385.442360233099,3105.003523686441,32.0,2022-03-22 21:13:06.818,2459661.3841066896,-8.865380258131507,0.24456504777234933,0.1326350732369252,3516.835893451503,,0.2445383437079771,2022,black,0.019484029979834,10.45631866467083
11,18,18,1149.8314680006008,885.8531791776148,4306.87504022436,0.1114919781684875,1385.4423602330987,1868.6713187457608,32.0,2022-03-24 20:55:18.506,2459663.3717419677,-8.419312026569013,0.491113118626771,0.24793478588979656,2331.979942057395,,0.49105969802212535,2022,black,0.025115589600384184,10.902386896233324
12,17,17,1147.7136360162574,899.4690139894603,4046.154249311763,0.1295095682144165,1385.442360233099,2268.766810619156,32.0,2022-03-20 21:41:41.868,2459659.4039568054,-8.320348976402318,0.01400939030330979,-0.0616826856812026,2128.82318055579,,0.014009302165265901,2022,black,0.02279370418119974,11.001349946400019
13,19,19,1152.7717345991423,890.4132846799872,5263.7153992535,0.1579059362411499,1385.442360233099,3071.127370834235,32.0,2022-03-22 21:16:00.782,2459661.386120162,-8.832644103124164,0.24886679634855735,0.11111705204968157,3412.3819907504244,,0.24884006522035929,2022,black,0.019591194826821243,10.489054819678174
14,18,18,1149.8782994747894,885.8976973736213,4296.39269716523,0.1110613346099853,1385.4423602330987,1866.4687390424083,32.0,2022-03-24 20:58:10.460,2459663.373732176,-8.405984315385153,0.49536516413241216,0.23416437401898596,2303.5292229462802,,0.49531171677664076,2022,black,0.025130404415157154,10.915714607417184
15,21,21,1147.6622387792902,899.4794229072088,4111.63592145272,0.1202173233032226,1385.4423602330987,2293.8129476801723,32.0,2022-03-20 21:43:57.720,2459659.4055291666,-8.307396180023437,0.017368712590300532,-0.08293425382697932,2103.5772824456535,,0.0173686033175685,2022,black,0.022668920422272185,11.0143027427789
16,18,18,1152.958401073231,890.3366441117265,5111.814144719836,0.1912609934806823,1385.442360233099,3131.458256041231,32.0,2022-03-22 21:18:50.878,2459661.3880888657,-8.844217594961155,0.2530728974297354,0.1013881797925011,3448.9511087174515,,0.253046139839463,2022,black,0.019401554339825263,10.477481327841183
