,0,Aperture Area (pixels),Aperture Sum,EXP-TIME,Median Flux Background Subtracted,OBS-TIME,Sum with bkg subtraction,Unnamed: 0,Unnamed: 0.1,id,x,y,JulianDate,phase,mag,residualFactor,correctedflux,correctedmag
0,,1385.442360233099,10426.577119503609,30.0,1.0334362387657166,2023-01-23 20:56:39.692,9651.488789112314,10.0,10.0,10.0,2355.384951865403,1757.925624758985,2459968.3726816205,0.29616243877815385,-9.961485776371171,-0.20398824014479486,7682.698576244076,-9.713784485924194
1,,1385.442360233099,10258.0839678849,30.0,0.8716526031494141,2023-01-23 20:58:53.056,9483.128341624788,16.0,16.0,16.0,2356.0089064602635,1758.129271871637,2459968.3742251853,0.30116297241150214,-9.942379070503945,-0.19860279937851621,7599.752506112359,-9.70199862314281
2,,1385.442360233099,9473.201141244865,30.0,0.8610032200813293,2023-01-23 21:03:19.106,8738.066416058238,13.0,13.0,13.0,2355.530898762119,1758.1689083920237,2459968.3773044674,0.31113861748040905,-9.853538353399538,-0.14230816718860714,7494.568199616669,-9.686866539950106
3,,1385.442360233099,8740.036723785644,30.0,0.9879557490348816,2023-01-23 21:05:30.506,8025.99427562822,10.0,10.0,10.0,2356.6976702519446,1759.081451759041,2459968.378825301,0.31606551091763213,-9.76124711411629,-0.07267923385336272,7442.6711607640855,-9.67932207750101
4,,1385.4423602330987,8199.676409058637,30.0,0.7484644055366516,2023-01-23 21:07:42.481,7574.356458182628,19.0,19.0,19.0,2356.700366342834,1758.387827963234,2459968.3803527895,0.32101396464745013,-9.698364349195636,-0.014844471400393897,7461.9191403627465,-9.682126346456299
5,,1385.442360233099,7660.1173529744865,30.0,0.6197479665279388,2023-01-23 21:09:57.659,7280.181750650344,28.0,28.0,28.0,2356.257372090071,1758.3568544890732,2459968.3819173495,0.3260825145774838,-9.65535555416145,-0.0013725759915218416,7270.189147965486,-9.65386427503242
6,,1385.442360233099,7363.780948548242,30.0,0.737204372882843,2023-01-23 21:14:20.434,6987.980438331604,25.0,25.0,25.0,2356.174040546188,1758.3415647955717,2459968.384958727,0.33593536312965216,-9.610879201446762,0.04668739268536145,7314.231025133616,-9.660421684288682
7,,1385.442360233099,6769.778476877419,30.0,0.569985568523407,2023-01-23 21:20:58.316,6405.8929313598455,27.0,27.0,27.0,2355.6695255868863,1758.433118026825,2459968.3895638427,0.35085410051780597,-9.516449188883744,0.12547955348485326,7209.701516058656,-9.644793212903988
8,,1385.4423602330987,6639.002347791185,30.0,0.5200361609458923,2023-01-23 21:23:10.435,6285.146245238248,35.0,35.0,35.0,2355.6617782445787,1758.181730541645,2459968.3910929975,0.3558079518635563,-9.49578846868304,0.12572642151231322,7075.355191333606,-9.624370617121272
9,,1385.442360233099,6544.576273649417,30.0,0.6250063478946686,2023-01-23 21:25:22.220,6191.21300137332,27.0,27.0,27.0,2356.3998801621333,1758.260897624559,2459968.392618287,0.3607492806800014,-9.47943936414702,0.1475447430829849,7104.693933032982,-9.62886343364677
10,,1385.4423602330987,6457.548721075818,30.0,0.6763275265693665,2023-01-23 21:27:33.112,6099.281341619652,18.0,18.0,18.0,2357.533603587167,1759.0592114539916,2459968.394133241,0.36565712708011955,-9.463196666315586,0.15436100152981283,7040.772518124163,-9.619050782071248
11,,1385.442360233099,6295.969169164708,30.0,0.606170117855072,2023-01-23 21:29:44.355,5939.83702973338,19.0,19.0,19.0,2355.168969879753,1758.403747110888,2459968.395652257,0.3705781326204774,-9.434436323707846,0.1542496649190318,6856.054901243412,-9.590185716574464
12,,1385.4423602330987,6226.934551752808,30.0,0.7013509571552277,2023-01-23 21:31:56.773,5876.109710491272,23.0,23.0,23.0,2355.99317773522,1758.292947181386,2459968.3971848725,0.37554319555974613,-9.422724739330677,0.1848946182862135,6962.5707724204685,-9.60692405668982
13,,1385.442360233099,6117.440991646195,30.0,0.6040385365486145,2023-01-23 21:34:09.624,5767.868499172092,36.0,36.0,36.0,2355.346761376567,1758.0843839529898,2459968.3987225,0.3805244950949566,-9.402538376012593,0.21226928770602152,6992.209837073351,-9.611536132631231
14,,1385.442360233099,5984.690254115156,30.0,0.6000247374176979,2023-01-23 21:36:21.895,5642.597883511914,25.0,25.0,25.0,2354.5652586822857,1757.7146517696235,2459968.400253414,0.3854840457679826,-9.378697754066733,0.20933654860230172,6823.7998495969505,-9.585065699893692
15,,1385.442360233099,6028.182216751334,30.0,0.513859435915947,2023-01-23 21:38:33.492,5680.979467448627,24.0,24.0,24.0,2355.9551006459587,1758.6484066269534,2459968.401776528,0.3904183266074473,-9.386058049064527,0.19747247982590518,6802.816570725757,-9.58172190230381
16,,1385.4423602330987,5873.640139325085,30.0,0.5896877497434616,2023-01-23 21:42:56.040,5523.631940458863,26.0,26.0,26.0,2357.287233127752,1759.1243742514512,2459968.4048152776,0.40026266237406344,-9.355561830652992,0.20531719430648016,6657.728552855536,-9.558315210605171
17,,1385.442360233099,5890.446285591632,30.0,0.5047906339168549,2023-01-23 21:47:18.674,5531.342259025915,23.0,23.0,23.0,2356.9973076221004,1759.0164518214929,2459968.407855023,0.4101102249434965,-9.35707632959705,0.19857908510542532,6629.751144228258,-9.55374306734797
18,,1385.442360233099,6175.650120498616,30.0,0.5379116535186768,2023-01-23 21:53:55.096,5797.7067317181645,21.0,21.0,21.0,2355.635113699035,1758.5320212678748,2459968.4124432406,0.42497421831695836,-9.408140608602231,0.11643134206636437,6472.741507399305,-9.52772065891989
19,,1385.4423602330987,6519.609374282529,30.0,0.5671975016593933,2023-01-23 21:58:17.674,6140.046821686205,30.0,30.0,30.0,2355.5838355443084,1758.2671634185954,2459968.415482338,0.4348196809754418,-9.470429207300159,0.042830577011712806,6403.028569937957,-9.515963599062497
